iter	Passed	Remaining
1567	64148	38129
1568	64190	38088
1569	64230	38047
1570	64266	38003
1571	64304	37960
1572	64340	37917
1573	64384	37878
1574	64427	37838
1575	64471	37799
1576	64509	37756
1577	64549	37715
1578	64584	37670
1579	64622	37628
1580	64667	37589
1581	64704	37546
1582	64745	37505
1583	64783	37463
1584	64823	37421
1585	64861	37379
1586	64901	37337
1587	64944	37298
1588	64983	37255
1589	65026	37216
1590	65064	37173
1591	65101	37130
1592	65138	37087
1593	65191	37053
1594	65237	37015
1595	65284	36978
1596	65323	36936
1597	65368	36897
1598	65412	36858
1599	65454	36817
1600	65493	36776
1601	65532	36734
1602	65574	36693
1603	65611	36650
1604	65653	36610
1605	65697	36571
1606	65738	36530
1607	65781	36490
1608	65820	36448
1609	65858	36406
1610	65902	36366
1611	65939	36323
1612	65978	36281
1613	66015	36238
1614	66050	36194
1615	66091	36154
1616	66140	36117
1617	66185	36079
1618	66229	36039
1619	66275	36001
1620	66309	35956
1621	66351	35916
1622	66395	35877
1623	66435	35835
1624	66471	35792
1625	66509	35749
1626	66548	35707
1627	66594	35669
1628	66630	35626
1629	66669	35584
1630	66708	35542
1631	66748	35501
1632	66785	35457
1633	66827	35417
1634	66865	35375
1635	66905	35333
1636	66945	35292
1637	66990	35253
1638	67029	35211
1639	67073	35172
1640	67119	35134
1641	67157	35091
1642	67194	35049
1643	67238	35010
1644	67282	34970
1645	67318	34927
1646	67359	34886
1647	67400	34845
1648	67436	34801
1649	67474	34759
1650	67509	34715
1651	67545	34672
1652	67624	34650
1653	67661	34608
1654	67703	34567
1655	67743	34526
1656	67786	34486
1657	67829	34446
1658	67868	34404
1659	67903	34360
1660	67948	34321
